ADD A	87	A←(A) + (A)
MVI D,d8	16	Переслать d8 в D
MVI E,d8	1E	Переслать d8 в E
MVI H,d8	26	Переслать d8 в H
MVI L,d8	2E	Переслать d8 в L
MVI M,d8	36	Переслать d8 в Loc(HL)
NOP	00	Нет операции
ORA A	B7	Проверить A и сбросить перенос
ORA B	B0	Логичеcкая операция A ИЛИ B
ORA C	B1	Логичеcкая операция A ИЛИ C
ORA D	B2	Логичеcкая операция A ИЛИ D
ORA E	B3	Логичеcкая операция A ИЛИ E
ORA H	B4	Логичеcкая операция A ИЛИ H
ORA L	B5	Логичеcкая операция A ИЛИ L
ORA M	B6	Логичеcкая операция A ИЛИ M
ORI d8	F6	Логичеcкая операция A ИЛИ d8
OUT pp	D3	Записать A в порт pp
PCHL	E9	Передать управление по адресу в HL
POP B	C1	Извлечь слово из стека в BC
POP D	D1	Извлечь слово из стека в DE
POP H	E1	Извлечь слово из стека в HL
POP PSW	F1	Извлечь слово из стека в PSW
PUSH B	C5	Поместить в стек содержимое BC
PUSH D	D5	Поместить в стек содержимое DE
PUSH H	E5	Поместить в стек содержимое HL
PUSH PSW	F5	Поместить в стек содержимое PSW
RAL	17	Циклический сдвиг CY + A влево
RAR	1F	Циклический сдвиг CY + A вправо
RLC	07	Сдвинуть A влево на один разряд с переносом
RRC	0F	Сдвинуть A вправо на один разряд с переносом
RIM	20	Считать маску прерывания (только в 8085)
RET	C9	Возврат из подпрограммы
RZ	C8	Возврат из подпрограммы, если FZ=0
RNZ	C0	Возврат из подпрограммы, если FZ=1
RP	F0	Возврат из подпрограммы, если FP=1
RM	F8	Возврат из подпрограммы, если FP=0
RC	D8	Возврат из подпрограммы, если FC=1
RNC	D0	Возврат из подпрограммы, если FC=0
RPE	E8	Возврат из подпрограммы, если паритет чётный
RPO	E0	Возврат из подпрограммы, если паритет нечётный
RST 0	C7	Запуск программы с адреса 0
RST 1	CF	Запуск программы с адреса 8h
RST 2	D7	Запуск программы с адреса 10h
RST 3	DF	Запуск программы с адреса 18h
RST 4	E7	Запуск программы с адреса 20h
RST 5	EF	Запуск программы с адреса 28h
RST 6	F7	Запуск программы с адреса 30h
RST 7	FF	Запуск программы с адреса 38h
SIM	30	Установить маску прерывания (только в 8085)
SPHL	F9	Загрузить SP из HL
SHLD a16	22	Записать HL по адресу a16
STA a16	32	Записать A по адресу a16
STAX B	02	Записать A по адресу Loc(BC)
STAX D	12	Записать A по адресу Loc(DE)
STC	37	Установить флаг переноса (CF=1)
SUB A	97	Вычесть А из А (очистить А)
SUB B	90	Вычесть B из А
SUB C	91	Вычесть C из А
SUB D	92	Вычесть D из А
SUB E	93	Вычесть E из А
SUB H	94	Вычесть H из А
SUB L	95	Вычесть L из А
SUB M	96	Вычесть M из А
SUI d8	D6	Вычесть d8 из А
SBB A	9F	Вычесть А из А (очистить А)
SBB B	98	Вычесть c заёмом B из А
SBB C	99	Вычесть c заёмом C из А
SBB D	9A	Вычесть c заёмом D из А
SBB E	9B	Вычесть c заёмом E из А
SBB H	9C	Вычесть c заёмом H из А
SBB L	9D	Вычесть c заёмом L из А
SBB M	9E	Вычесть c заёмом M из А
SBI d8	DE	Вычесть c заемом d8 из А
XCHG	EB	Обмен содержимым DE и HL
XTHL	E3	Обмен содержимого вершины стека с содержимым HL
XRA A	AF	Исключающее ИЛИ A с A (очистка A)
XRA B	A8	Исключающее ИЛИ B с A
XRA C	A9	Исключающее ИЛИ C с A
XRA D	AA	Исключающее ИЛИ D с A
XRA E	AB	Исключающее ИЛИ E с A
XRA H	AC	Исключающее ИЛИ H с A
XRA L	AD	Исключающее ИЛИ L с A
XRA M	AE	Исключающее ИЛИ Loc(HL) с A
XRI d8	EE	Исключающее ИЛИ d8 с A
